alert_id,alert_timestamp,risk_score,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,errorBalanceOrig,isZeroBalanceOrig,isZeroBalanceDest,amountToBalanceRatio,destBalanceUnchanged,txn_count,amount_outlier,oldbalanceOrg_outlier,newbalanceOrig_outlier,oldbalanceDest_outlier,newbalanceDest_outlier,rule_based_flag,rule_based_score,ml_flag,ml_score,network_flag,final_risk_score,high_risk_flag
ALERT-000022,2025-11-15 13:50:53,4.0,6,TRANSFER,17320.91,C788790720,17320.91,0.0,C1589547066,0.0,0.0,1,0,0,0,1,1.0,1,1,0,0,0,0,0,True,5.0,1,0.9916591027104894,False,4.0,True
ALERT-000023,2025-11-15 13:50:53,4.0,4,TRANSFER,728152.2725,C2047521920,532686.54,0.0,C449261773,0.0,0.0,1,0,0,0,1,1.0,1,1,1,1,0,0,0,True,5.0,1,0.9857283911357179,False,4.0,True
ALERT-000024,2025-11-15 13:50:53,4.0,4,TRANSFER,728152.2725,C7162498,532686.54,575493.61,C945327594,0.0,0.0,1,0,1,0,1,0.7733701771835313,1,1,1,1,1,0,0,True,5.0,1,0.5809658300072492,False,4.0,True
ALERT-000025,2025-11-15 13:50:53,4.0,3,CASH_OUT,22877.0,C2126545173,22877.0,0.0,C573200870,0.0,22877.0,1,0,0,0,1,1.0,0,1,0,0,0,0,0,True,5.0,1,0.9784330177794083,False,4.0,True
ALERT-000026,2025-11-15 13:50:53,4.0,3,TRANSFER,22877.0,C1247938090,22877.0,0.0,C1002031672,0.0,0.0,1,0,0,0,1,1.0,1,1,0,0,0,0,0,True,5.0,1,0.9916700380872695,False,4.0,True
ALERT-000027,2025-11-15 13:50:53,4.0,2,TRANSFER,18627.02,C1375503918,18627.02,0.0,C234430897,0.0,0.0,1,0,0,0,1,1.0,1,1,0,0,0,0,0,True,5.0,1,0.9916827302173238,False,4.0,True
ALERT-000028,2025-11-15 13:50:53,4.0,2,CASH_OUT,14949.84,C395257482,14949.84,0.0,C1032986144,18161.79,33111.63,1,0,0,0,0,1.0,0,1,0,0,0,0,0,True,5.0,1,0.9771903700953206,False,4.0,True
ALERT-000029,2025-11-15 13:50:53,4.0,2,TRANSFER,14949.84,C140702728,14949.84,0.0,C634210724,0.0,0.0,1,0,0,0,1,1.0,1,1,0,0,0,0,0,True,5.0,1,0.9881394040126052,False,4.0,True
ALERT-000030,2025-11-15 13:50:53,4.0,2,CASH_OUT,728152.2725,C430329518,532686.54,0.0,C991505714,132382.57,1095914.71,1,0,0,0,0,1.0,0,1,1,1,0,0,0,True,5.0,1,0.8961309574295986,False,4.0,True
ALERT-000031,2025-11-15 13:50:53,4.0,2,TRANSFER,728152.2725,C1440057381,532686.54,0.0,C268086000,0.0,0.0,1,0,0,0,1,1.0,1,1,1,1,0,0,0,True,5.0,1,0.9857283911357179,False,4.0,True
ALERT-000032,2025-11-15 13:50:53,4.0,2,CASH_OUT,728152.2725,C77163673,532686.54,0.0,C644345897,0.0,1096187.24,1,0,0,0,1,1.0,0,1,1,1,0,0,0,True,5.0,1,0.9377929538486681,False,4.0,True
ALERT-000033,2025-11-15 13:50:53,4.0,1,TRANSFER,25071.46,C669700766,25071.46,0.0,C1384210339,0.0,0.0,1,0,0,0,1,1.0,1,1,0,0,0,0,0,True,5.0,1,0.991673826359644,False,4.0,True
ALERT-000034,2025-11-15 13:50:53,4.0,1,TRANSFER,728152.2725,C1334405552,532686.54,0.0,C431687661,0.0,0.0,1,0,0,0,1,1.0,1,1,1,1,0,0,0,True,5.0,1,0.9857283911357179,False,4.0,True
ALERT-000035,2025-11-15 13:50:53,4.0,1,CASH_OUT,20128.0,C1118430673,20128.0,0.0,C339924917,6268.0,12145.85,1,0,0,0,0,1.0,0,1,0,0,0,0,0,True,5.0,1,0.9875142948998,False,4.0,True
ALERT-000036,2025-11-15 13:50:53,4.0,6,CASH_OUT,216422.0,C1547714604,216422.0,0.0,C7881234,10097.0,48630.5,1,0,0,0,0,1.0,0,1,0,0,0,0,0,True,5.0,1,0.9368778427332143,False,4.0,True
ALERT-000037,2025-11-15 13:50:53,4.0,6,CASH_OUT,17320.91,C436661284,17320.91,0.0,C522173599,6244.44,0.0,1,0,0,0,0,1.0,0,1,0,0,0,0,0,True,5.0,1,0.9868551590946355,False,4.0,True
ALERT-000038,2025-11-15 13:50:53,4.0,1,TRANSFER,2806.0,C1420196421,2806.0,0.0,C972765878,0.0,0.0,1,0,0,0,1,1.0,1,1,0,0,0,0,0,True,5.0,1,0.9726957725768487,False,4.0,True
ALERT-000039,2025-11-15 13:50:53,4.0,6,CASH_OUT,17246.0,C1484518113,17246.0,0.0,C978609035,0.0,17246.0,1,0,0,0,1,1.0,0,1,0,0,0,0,0,True,5.0,1,0.9836837575883389,False,4.0,True
ALERT-000040,2025-11-15 13:50:53,4.0,8,CASH_OUT,1996.17,C858959216,1996.17,0.0,C864078397,2559.74,4555.92,1,0,0,0,0,1.0,0,1,0,0,0,0,0,True,5.0,1,0.9694035860397962,False,4.0,True
ALERT-000041,2025-11-15 13:50:53,4.0,8,TRANSFER,89631.24,C74534388,89631.24,0.0,C1748042844,0.0,0.0,1,0,0,0,1,1.0,1,1,0,0,0,0,0,True,5.0,1,0.9886202983913415,False,4.0,True
ALERT-000042,2025-11-15 13:50:53,4.0,8,TRANSFER,29707.86,C1825456600,29707.86,0.0,C570409417,0.0,0.0,1,0,0,0,1,1.0,1,1,0,0,0,0,0,True,5.0,1,0.9916779895569796,False,4.0,True
ALERT-000043,2025-11-15 13:50:53,4.0,8,CASH_OUT,29707.86,C515973302,29707.86,0.0,C170071280,10935.0,0.0,1,0,0,0,0,1.0,0,1,0,0,0,0,0,True,5.0,1,0.9868309386843184,False,4.0,True
ALERT-000044,2025-11-15 13:50:53,4.0,8,TRANSFER,43092.0,C1683174795,43092.0,0.0,C427998326,0.0,0.0,1,0,0,0,1,1.0,1,1,0,0,0,0,0,True,5.0,1,0.9766074616118071,False,4.0,True
ALERT-000045,2025-11-15 13:50:53,4.0,8,CASH_OUT,43092.0,C1395071924,43092.0,0.0,C79685693,660641.74,1158662.9,1,0,0,0,0,1.0,0,1,0,0,0,0,0,True,5.0,1,0.853911702807226,False,4.0,True
ALERT-000046,2025-11-15 13:50:53,4.0,9,TRANSFER,556218.01,C1769581889,532686.54,0.0,C217441120,0.0,0.0,1,0,0,0,1,1.0,1,1,0,1,0,0,0,True,5.0,1,0.9862478441216149,False,4.0,True
ALERT-000047,2025-11-15 13:50:53,4.0,9,CASH_OUT,556218.01,C589143360,532686.54,0.0,C1992550266,0.0,582265.81,1,0,0,0,1,1.0,0,1,0,1,0,0,0,True,5.0,1,0.9250207112587603,False,4.0,True
ALERT-000048,2025-11-15 13:50:53,4.0,9,TRANSFER,11308.0,C299933576,11308.0,0.0,C1060999444,0.0,0.0,1,0,0,0,1,1.0,1,1,0,0,0,0,0,True,5.0,1,0.975145716235985,False,4.0,True
ALERT-000049,2025-11-15 13:50:53,4.0,9,CASH_OUT,11308.0,C921533797,11308.0,0.0,C424669538,0.0,302550.56,1,0,0,0,1,1.0,0,1,0,0,0,0,0,True,5.0,1,0.8877868213853966,False,4.0,True
ALERT-000050,2025-11-15 13:50:53,4.0,9,TRANSFER,350705.74,C1452168793,350705.74,0.0,C399194578,0.0,1184633.07,1,0,0,0,1,1.0,0,1,0,0,0,0,0,True,5.0,1,0.9454582267989493,False,4.0,True
ALERT-000051,2025-11-15 13:50:53,4.0,9,CASH_OUT,350705.74,C58527359,350705.74,0.0,C582901057,894760.68,1794033.65,1,0,0,0,0,1.0,0,1,0,0,0,0,0,True,5.0,1,0.7390848654686849,False,4.0,True
ALERT-000052,2025-11-15 13:50:53,4.0,9,TRANSFER,728152.2725,C394488466,532686.54,0.0,C575638324,0.0,261290.69,1,0,0,0,1,1.0,0,1,1,1,0,0,0,True,5.0,1,0.9643658885680334,False,4.0,True
ALERT-000053,2025-11-15 13:50:53,4.0,9,CASH_OUT,728152.2725,C728718059,532686.54,0.0,C1013511446,968.0,1842864.22,1,0,0,0,0,1.0,0,1,1,1,0,0,0,True,5.0,1,0.9061474467388502,False,4.0,True
ALERT-000054,2025-11-15 13:50:53,4.0,9,TRANSFER,361559.69,C1287719145,361559.69,0.0,C352239275,0.0,141302.12,1,0,0,0,1,1.0,0,1,0,0,0,0,0,True,5.0,1,0.9622107177688407,False,4.0,True
ALERT-000055,2025-11-15 13:50:53,4.0,8,CASH_OUT,222.0,C1737727444,222.0,0.0,C588779235,24708.0,171647.35,1,0,0,0,0,1.0,0,1,0,0,0,0,0,True,5.0,1,0.9284691420447041,False,4.0,True
ALERT-000056,2025-11-15 13:50:53,4.0,8,TRANSFER,222.0,C1961506277,222.0,0.0,C378841819,0.0,267095.19,1,0,0,0,1,1.0,0,1,0,0,0,0,0,True,5.0,1,0.9350283094471061,False,4.0,True
ALERT-000057,2025-11-15 13:50:53,4.0,7,CASH_OUT,441445.58,C398085606,441445.58,0.0,C2072030256,98993.5,0.0,1,0,0,0,0,1.0,0,1,0,0,0,0,0,True,5.0,1,0.9428143006429344,False,4.0,True
ALERT-000058,2025-11-15 13:50:53,4.0,7,TRANSFER,262434.54,C2101686389,262434.54,0.0,C612008977,0.0,0.0,1,0,0,0,1,1.0,1,1,0,0,0,0,0,True,5.0,1,0.9815770293340556,False,4.0,True
ALERT-000059,2025-11-15 13:50:53,4.0,6,TRANSFER,10565.0,C777407608,10565.0,0.0,C1790657739,0.0,0.0,1,0,0,0,1,1.0,1,1,0,0,0,0,0,True,5.0,1,0.9801140992531485,False,4.0,True
ALERT-000060,2025-11-15 13:50:53,4.0,6,CASH_OUT,10565.0,C1191732945,10565.0,0.0,C418964192,36275.0,24380.72,1,0,0,0,0,1.0,0,1,0,0,0,0,0,True,5.0,1,0.9461816343215663,False,4.0,True
ALERT-000061,2025-11-15 13:50:53,4.0,6,TRANSFER,10224.0,C365589282,10224.0,0.0,C908043384,0.0,0.0,1,0,0,0,1,1.0,1,1,0,0,0,0,0,True,5.0,1,0.9738796633811754,False,4.0,True
ALERT-000062,2025-11-15 13:50:53,4.0,6,CASH_OUT,10224.0,C1284098442,10224.0,0.0,C801412408,0.0,10224.0,1,0,0,0,1,1.0,0,1,0,0,0,0,0,True,5.0,1,0.9638556054763179,False,4.0,True
ALERT-000063,2025-11-15 13:50:53,4.0,6,TRANSFER,85354.69,C558400671,85354.69,0.0,C527482085,0.0,0.0,1,0,0,0,1,1.0,1,1,0,0,0,0,0,True,5.0,1,0.9882708537907189,False,4.0,True
ALERT-000064,2025-11-15 13:50:53,4.0,6,CASH_OUT,85354.69,C158801009,85354.69,0.0,C382431057,11170.0,10612.55,1,0,0,0,0,1.0,0,1,0,0,0,0,0,True,5.0,1,0.963191444861528,False,4.0,True
ALERT-000065,2025-11-15 13:50:53,4.0,7,CASH_OUT,262434.54,C383717053,262434.54,0.0,C380242442,19525.79,438233.86,1,0,0,0,0,1.0,0,1,0,0,0,0,0,True,5.0,1,0.8586298352458993,False,4.0,True
ALERT-000066,2025-11-15 13:50:53,4.0,7,TRANSFER,441445.58,C1023505879,441445.58,0.0,C847761155,0.0,0.0,1,0,0,0,1,1.0,1,1,0,0,0,0,0,True,5.0,1,0.9820243349753691,False,4.0,True
ALERT-000067,2025-11-15 13:50:53,4.0,7,TRANSFER,21729.0,C1686905633,21729.0,0.0,C824421402,0.0,0.0,1,0,0,0,1,1.0,1,1,0,0,0,0,0,True,5.0,1,0.9916700380872695,False,4.0,True
ALERT-000068,2025-11-15 13:50:53,4.0,7,CASH_OUT,21729.0,C693427358,21729.0,0.0,C1101441872,27335.0,0.0,1,0,0,0,0,1.0,0,1,0,0,0,0,0,True,5.0,1,0.981947277512132,False,4.0,True
ALERT-000069,2025-11-15 13:50:53,4.0,7,TRANSFER,728152.2725,C666654362,532686.54,0.0,C1726301214,0.0,0.0,1,0,0,0,1,1.0,1,1,1,1,0,0,0,True,5.0,1,0.9857283911357179,False,4.0,True
ALERT-000070,2025-11-15 13:50:53,4.0,7,TRANSFER,164.0,C1455969984,164.0,0.0,C2119910556,0.0,0.0,1,0,0,0,1,1.0,1,1,0,0,0,0,0,True,5.0,1,0.9552728249758273,False,4.0,True
ALERT-000071,2025-11-15 13:50:53,4.0,7,TRANSFER,21571.0,C786114805,21571.0,0.0,C1666314150,0.0,0.0,1,0,0,0,1,1.0,1,1,0,0,0,0,0,True,5.0,1,0.9916756745422368,False,4.0,True
ALERT-000072,2025-11-15 13:50:53,4.0,7,CASH_OUT,21571.0,C452475723,21571.0,0.0,C2089016471,30797.41,71140.3,1,0,0,0,0,1.0,0,1,0,0,0,0,0,True,5.0,1,0.9748641300825537,False,4.0,True
ALERT-000073,2025-11-15 13:50:53,4.0,1,CASH_OUT,2806.0,C2101527076,2806.0,0.0,C1007251739,26202.0,0.0,1,0,0,0,0,1.0,0,1,0,0,0,0,0,True,5.0,1,0.9650572710063243,False,4.0,True
ALERT-000074,2025-11-15 13:50:53,4.0,9,CASH_OUT,361559.69,C684758020,361559.69,0.0,C1769042905,504667.31,189441.24,1,0,0,0,0,1.0,0,1,0,0,0,0,0,True,5.0,1,0.8482874427242347,False,4.0,True
ALERT-000075,2025-11-15 13:50:53,3.0,5,CASH_IN,12163.38,C2121754508,532686.54,575493.61,C667346055,1852820.14,3459705.48,0,0,1,0,0,0.0011115698098484788,0,1,0,1,1,1,1,True,5.0,0,0.0,True,3.0,True
ALERT-000076,2025-11-15 13:50:53,3.0,6,CASH_IN,276974.44,C1910491749,532686.54,575493.61,C932583850,1852820.14,3459705.48,0,0,1,0,0,0.06849160234258346,0,1,0,1,1,1,1,True,5.0,0,0.0021008403361344533,True,3.0,True
ALERT-000077,2025-11-15 13:50:53,3.0,8,TRANSFER,633210.41,C1211715275,28834.15,0.0,C667346055,1852820.14,3459705.48,0,0,1,0,0,21.960432681386482,0,1,0,0,0,1,1,True,5.0,0,0.008804438525721173,True,3.0,True
ALERT-000078,2025-11-15 13:50:53,3.0,1,TRANSFER,191177.92,C1460126155,0.0,0.0,C716083600,1749950.57,2444985.19,0,0,1,1,0,19117792.0,0,1,0,0,0,0,0,True,5.0,0,0.005053286559389838,True,3.0,True
ALERT-000079,2025-11-15 13:50:53,3.0,8,TRANSFER,1996.17,C1198040187,1996.17,0.0,C1828047633,0.0,0.0,1,0,0,0,1,1.0,1,1,0,0,0,0,0,False,0.0,1,0.9726957725768487,False,3.0,True
ALERT-000080,2025-11-15 13:50:53,3.0,1,TRANSFER,208376.61,C268379633,133.99,0.0,C716083600,1541573.96,2444985.19,0,0,1,0,0,1555.165385476528,0,1,0,0,0,0,0,True,5.0,0,0.002228427802327692,True,3.0,True
ALERT-000081,2025-11-15 13:50:53,3.0,3,CASH_IN,422671.35,C1719519917,532686.54,575493.61,C667346055,1852820.14,3459705.48,0,0,1,0,0,0.11785288275366715,0,1,0,1,1,1,1,True,5.0,0,0.0021008403361344533,True,3.0,True
ALERT-000082,2025-11-15 13:50:53,3.0,6,CASH_OUT,13704.0,C1421965867,13704.0,0.0,C1438594533,3382.84,143675.35,1,0,0,0,0,1.0,0,1,0,0,0,0,0,False,0.0,1,0.9496986621672318,False,3.0,True
ALERT-000083,2025-11-15 13:50:53,3.0,6,TRANSFER,13704.0,C1735554279,13704.0,0.0,C12793273,0.0,1658746.09,1,0,0,0,1,1.0,0,1,0,0,0,0,0,False,0.0,1,0.9462510417108518,False,3.0,True
ALERT-000084,2025-11-15 13:50:53,3.0,3,CASH_IN,347969.28,C1229143192,532686.54,575493.61,C716083600,1852820.14,1572841.87,0,0,1,0,0,0.43289201901320123,0,1,0,1,1,1,0,True,5.0,0,0.004424778761061947,True,3.0,True
ALERT-000085,2025-11-15 13:50:53,3.0,8,CASH_OUT,127543.2,C639453388,0.0,0.0,C932583850,1852820.14,3459705.48,0,0,1,1,0,12754320.0,0,1,0,0,0,1,1,True,5.0,0,0.007102800889513039,True,3.0,True
ALERT-000086,2025-11-15 13:50:53,3.0,8,TRANSFER,728152.2725,C1249221653,0.0,0.0,C667346055,1852820.14,3459705.48,0,0,1,1,0,89948582.0,0,1,1,0,0,1,1,True,5.0,0,0.003968253968253967,True,3.0,True
ALERT-000087,2025-11-15 13:50:53,3.0,8,TRANSFER,728152.2725,C1402701580,0.0,0.0,C932583850,1852820.14,3459705.48,0,0,1,1,0,74504450.0,0,1,1,0,0,1,1,True,5.0,0,0.003968253968253967,True,3.0,True
ALERT-000088,2025-11-15 13:50:53,3.0,8,TRANSFER,728152.2725,C351790783,0.0,0.0,C932583850,1852820.14,3459705.48,0,0,1,1,0,106511645.0,0,1,1,0,0,1,1,True,5.0,0,0.003968253968253967,True,3.0,True
ALERT-000089,2025-11-15 13:50:53,3.0,1,CASH_OUT,35063.63,C1635772897,35063.63,0.0,C1983025922,31140.0,7550.03,1,0,0,0,0,1.0,0,1,0,0,0,0,0,False,0.0,1,0.9677047637708476,False,3.0,True
ALERT-000090,2025-11-15 13:50:53,3.0,1,TRANSFER,35063.63,C1364127192,35063.63,0.0,C1136419747,0.0,0.0,1,0,0,0,1,1.0,1,1,0,0,0,0,0,False,0.0,1,0.9866249654115359,False,3.0,True
ALERT-000091,2025-11-15 13:50:53,3.0,1,TRANSFER,264361.19,C2017860548,29083.86,0.0,C716083600,1277212.77,2444985.19,0,0,1,0,0,9.08961843441689,0,1,0,0,0,0,0,True,5.0,0,0.01405909102901498,True,3.0,True
ALERT-000092,2025-11-15 13:50:53,3.0,8,TRANSFER,189136.84,C2033233004,0.0,0.0,C932583850,1852820.14,3459705.48,0,0,1,1,0,18913684.0,0,1,0,0,0,1,1,True,5.0,0,0.0002521432173474552,True,3.0,True
ALERT-000093,2025-11-15 13:50:53,3.0,1,TRANSFER,728152.2725,C1731137986,0.0,0.0,C932583850,1571970.16,2719172.89,0,0,1,1,0,90250561.0,0,1,1,0,0,0,0,True,5.0,0,0.04198908099160144,True,3.0,True
ALERT-000094,2025-11-15 13:50:53,3.0,8,TRANSFER,174451.49,C1171870369,0.0,0.0,C667346055,1852820.14,3459705.48,0,0,1,1,0,17445149.0,0,1,0,0,0,1,1,True,5.0,0,0.0002521432173474552,True,3.0,True
ALERT-000095,2025-11-15 13:50:53,3.0,7,CASH_IN,227204.83,C806609384,256370.88,483575.72,C932583850,1852820.14,3459705.48,0,0,1,0,0,0.8862349343263946,0,1,0,0,0,1,1,True,5.0,0,0.015241258056991884,True,3.0,True
ALERT-000096,2025-11-15 13:50:53,3.0,8,DEBIT,1997.17,C1749401333,301745.0,299747.83,C716083600,1852820.14,3459705.48,0,0,0,0,0,0.0066187343617955564,0,1,0,0,0,1,1,True,5.0,0,0.033765740669384404,True,3.0,True
ALERT-000097,2025-11-15 13:50:53,3.0,7,CASH_IN,154228.23,C1826767363,532686.54,575493.61,C932583850,1852820.14,3459705.48,0,0,1,0,0,0.05934652960615047,0,1,0,1,1,1,1,True,5.0,0,0.0021008403361344533,True,3.0,True
ALERT-000098,2025-11-15 13:50:53,3.0,7,CASH_IN,276651.07,C792028608,532686.54,575493.61,C667346055,1852820.14,3459705.48,0,0,1,0,0,0.1539251278803236,0,1,0,1,1,1,1,True,5.0,0,0.0021008403361344533,True,3.0,True
ALERT-000099,2025-11-15 13:50:53,3.0,3,CASH_IN,439543.98,C776178157,166923.73,575493.61,C932583850,1852820.14,3459705.48,0,0,1,0,0,2.6332024811571126,0,1,0,0,1,1,1,True,5.0,0,0.01864181157602484,True,3.0,True
ALERT-000100,2025-11-15 13:50:53,3.0,8,CASH_OUT,322236.07,C1391209046,0.0,0.0,C932583850,1852820.14,3459705.48,0,0,1,1,0,32223607.0,0,1,0,0,0,1,1,True,5.0,0,0.007102800889513039,True,3.0,True
ALERT-000101,2025-11-15 13:50:53,3.0,1,CASH_IN,104335.07,C1223050066,532686.54,575493.61,C716083600,1852820.14,2444985.19,0,0,1,0,0,0.038838581024469625,0,1,0,1,1,1,0,True,5.0,0,0.0,True,3.0,True
ALERT-000102,2025-11-15 13:50:53,3.0,7,CASH_OUT,141917.76,C1037000742,0.0,0.0,C667346055,1852820.14,3459705.48,0,0,1,1,0,14191776.0,0,1,0,0,0,1,1,True,5.0,0,0.007102800889513039,True,3.0,True
ALERT-000103,2025-11-15 13:50:53,3.0,8,CASH_OUT,172979.48,C474716280,0.0,0.0,C766681183,1852820.14,3459705.48,0,0,1,1,0,17297948.0,0,1,0,0,0,1,1,True,5.0,0,0.007102800889513039,True,3.0,True
ALERT-000104,2025-11-15 13:50:53,3.0,7,TRANSFER,632361.53,C443006437,158925.0,0.0,C716083600,1848371.68,1995598.25,0,0,1,0,0,3.978993424571339,0,1,0,0,0,0,0,True,5.0,0,0.010106521859054507,True,3.0,True
ALERT-000105,2025-11-15 13:50:53,3.0,3,CASH_IN,108216.36,C1620253123,532686.54,575493.61,C932583850,1852820.14,3459705.48,0,0,1,0,0,0.028834605709101842,0,1,0,1,1,1,1,True,5.0,0,0.0021008403361344533,True,3.0,True
ALERT-000106,2025-11-15 13:50:53,3.0,3,CASH_IN,289264.94,C712874817,532686.54,575493.61,C932583850,1852820.14,3459705.48,0,0,1,0,0,0.06969827945533413,0,1,0,1,1,1,1,True,5.0,0,0.0021008403361344533,True,3.0,True
ALERT-000107,2025-11-15 13:50:53,3.0,8,CASH_OUT,87432.71,C1879749595,0.0,0.0,C766681183,1852820.14,3459705.48,0,0,1,1,0,8743271.0,0,1,0,0,0,1,1,True,5.0,0,0.007102800889513039,True,3.0,True
ALERT-000108,2025-11-15 13:50:53,3.0,1,CASH_IN,65671.39,C1817154869,378896.52,444567.92,C716083600,1852820.14,2444985.19,0,0,1,0,0,0.17332275841435543,0,1,0,0,0,1,0,True,5.0,0,0.0007451564828614039,True,3.0,True
ALERT-000109,2025-11-15 13:50:53,3.0,7,CASH_IN,395368.45,C34782860,532686.54,575493.61,C932583850,1852820.14,3459705.48,0,0,1,0,0,0.16142616429062132,0,1,0,1,1,1,1,True,5.0,0,0.0021008403361344533,True,3.0,True
